
runTimes                    cluNum                      dataNum                     dataDim                     iterTimes                   objFunc                     distCallsAll                distCallPerIterPerData      timeAll(∫¡√Î)               timePerIter(∫¡√Î)           
1                           5                           150                         4                           15                          50.189522106849616          11250                       5                           0                           0                           
2                           5                           150                         4                           7                           46.561630158730168          5250                        5                           0                           0                           
3                           5                           150                         4                           7                           46.535582051282056          5250                        5                           0                           0                           
4                           5                           150                         4                           8                           69.264165825977244          6000                        5                           0                           0                           
5                           5                           150                         4                           6                           46.561630158730168          4500                        5                           1                           0.16666666666666666         
6                           5                           150                         4                           14                          69.664665825977252          10500                       5                           1                           0.071428571428571425        
7                           5                           150                         4                           9                           46.561630158730168          6750                        5                           0                           0                           
8                           5                           150                         4                           6                           46.561630158730168          4500                        5                           0                           0                           
9                           5                           150                         4                           7                           49.931613862765587          5250                        5                           1                           0.14285714285714285         
10                          5                           150                         4                           7                           49.951650000000022          5250                        5                           0                           0                           
11                          5                           150                         4                           10                          69.936915825977252          7500                        5                           0                           0                           
12                          5                           150                         4                           9                           69.264165825977244          6750                        5                           1                           0.1111111111111111          
13                          5                           150                         4                           5                           51.260016121426467          3750                        5                           0                           0                           
14                          5                           150                         4                           7                           46.801701930501928          5250                        5                           0                           0                           
15                          5                           150                         4                           8                           49.748567008025852          6000                        5                           0                           0                           
16                          5                           150                         4                           6                           49.917140558292289          4500                        5                           0                           0                           
17                          5                           150                         4                           4                           49.713254212675409          3000                        5                           0                           0                           
18                          5                           150                         4                           8                           46.801701930501928          6000                        5                           1                           0.125                       
19                          5                           150                         4                           16                          49.868654263884586          12000                       5                           0                           0                           
20                          5                           150                         4                           11                          49.748567008025852          8250                        5                           0                           0                           
21                          5                           150                         4                           7                           49.740790314107848          5250                        5                           1                           0.14285714285714285         
22                          5                           150                         4                           10                          69.225951540262969          7500                        5                           1                           0.10000000000000001         
23                          5                           150                         4                           10                          49.868654263884586          7500                        5                           0                           0                           
24                          5                           150                         4                           8                           53.097741403903918          6000                        5                           0                           0                           
25                          5                           150                         4                           8                           69.225951540262969          6000                        5                           1                           0.125                       
26                          5                           150                         4                           10                          46.801701930501928          7500                        5                           0                           0                           
27                          5                           150                         4                           17                          46.801701930501928          12750                       5                           0                           0                           
28                          5                           150                         4                           7                           46.535582051282056          5250                        5                           0                           0                           
29                          5                           150                         4                           8                           51.260016121426467          6000                        5                           0                           0                           
30                          5                           150                         4                           7                           46.535582051282056          5250                        5                           0                           0                           
31                          5                           150                         4                           6                           49.925241269841273          4500                        5                           0                           0                           
32                          5                           150                         4                           7                           50.189522106849616          5250                        5                           0                           0                           
33                          5                           150                         4                           11                          69.227234007795431          8250                        5                           0                           0                           
34                          5                           150                         4                           10                          46.550572672672686          7500                        5                           0                           0                           
35                          5                           150                         4                           11                          50.061658157072877          8250                        5                           0                           0                           
36                          5                           150                         4                           12                          46.801701930501928          9000                        5                           0                           0                           
37                          5                           150                         4                           7                           49.951650000000022          5250                        5                           0                           0                           
38                          5                           150                         4                           5                           49.743776390094759          3750                        5                           0                           0                           
39                          5                           150                         4                           10                          50.061658157072877          7500                        5                           0                           0                           
40                          5                           150                         4                           18                          49.868654263884586          13500                       5                           0                           0                           
41                          5                           150                         4                           8                           46.550572672672686          6000                        5                           0                           0                           
42                          5                           150                         4                           9                           46.561630158730168          6750                        5                           0                           0                           
43                          5                           150                         4                           7                           49.917140558292289          5250                        5                           0                           0                           
44                          5                           150                         4                           16                          50.189522106849616          12000                       5                           0                           0                           
45                          5                           150                         4                           7                           49.876430957802583          5250                        5                           0                           0                           
46                          5                           150                         4                           13                          51.894443478260868          9750                        5                           0                           0                           
47                          5                           150                         4                           8                           49.951650000000022          6000                        5                           0                           0                           
48                          5                           150                         4                           7                           69.264165825977244          5250                        5                           0                           0                           
49                          5                           150                         4                           5                           69.22172714043171           3750                        5                           0                           0                           
50                          5                           150                         4                           15                          69.264165825977244          11250                       5                           0                           0                           

runTimes                    cluNum                      dataNum                     dataDim                     iterTimes                   objFunc                     distCallsAll                distCallPerIterPerData      timeAll(∫¡√Î)               timePerIter(∫¡√Î)           
25.5                        5                           150                         4                           9.0800000000000001          52.980223916425167          6810                        5                           0.16                        0.019698412698412698        
