created by liuhoufei |2021-08-19-11-49-27
runTimes                    cluNum                      dataNum                     dataDim                     iterTimes                   objFunc                     distCallsAll                distCallPerIterPerData      timeAll(∫¡√Î)               timePerIter(∫¡√Î)           
1                           5                           150                         4                           10                          49.740790314107847792       7500                        5                           0                           0                           
2                           5                           150                         4                           7                           46.56163015873016775        5250                        5                           0                           0                           
3                           5                           150                         4                           12                          51.236550793650799562       9000                        5                           0                           0                           
4                           5                           150                         4                           13                          46.801701930501927507       9750                        5                           0                           0                           
5                           5                           150                         4                           5                           46.550572672672686281       3750                        5                           0                           0                           
6                           5                           150                         4                           5                           69.259941426145985588       3750                        5                           0                           0                           
7                           5                           150                         4                           5                           51.26001612142646735        3750                        5                           0                           0                           
8                           5                           150                         4                           7                           52.991181822344316288       5250                        5                           1                           0.14285714285714284921      
9                           5                           150                         4                           10                          46.56163015873016775        7500                        5                           1                           0.10000000000000000555      
10                          5                           150                         4                           6                           46.56163015873016775        4500                        5                           1                           0.16666666666666665741      
11                          5                           150                         4                           13                          49.876430957802583066       9750                        5                           0                           0                           
12                          5                           150                         4                           3                           46.535582051282055716       2250                        5                           0                           0                           
13                          5                           150                         4                           11                          70.030462927426526676       8250                        5                           0                           0                           
14                          5                           150                         4                           16                          46.801701930501927507       12000                       5                           1                           0.0625                      
15                          5                           150                         4                           8                           46.554053846153856          6000                        5                           0                           0                           
16                          5                           150                         4                           11                          49.740790314107847792       8250                        5                           0                           0                           
17                          5                           150                         4                           13                          50.189522106849615568       9750                        5                           1                           0.076923076923076927347     
18                          5                           150                         4                           7                           46.535582051282055716       5250                        5                           0                           0                           
19                          5                           150                         4                           6                           49.766863023822153878       4500                        5                           0                           0                           
20                          5                           150                         4                           8                           46.56163015873016775        6000                        5                           1                           0.125                       
21                          5                           150                         4                           7                           49.868654263884586442       5250                        5                           0                           0                           
22                          5                           150                         4                           4                           46.56163015873016775        3000                        5                           1                           0.25                        
23                          5                           150                         4                           15                          51.236550793650799562       11250                       5                           0                           0                           
24                          5                           150                         4                           10                          46.535582051282055716       7500                        5                           0                           0                           
25                          5                           150                         4                           11                          51.894443478260868119       8250                        5                           1                           0.090909090909090911614     
26                          5                           150                         4                           13                          46.535582051282055716       9750                        5                           1                           0.076923076923076927347     
27                          5                           150                         4                           15                          51.236550793650799562       11250                       5                           1                           0.066666666666666665741     
28                          5                           150                         4                           7                           49.713254212675408894       5250                        5                           0                           0                           
29                          5                           150                         4                           5                           46.535582051282055716       3750                        5                           0                           0                           
30                          5                           150                         4                           8                           46.535582051282055716       6000                        5                           1                           0.125                       
31                          5                           150                         4                           12                          46.801701930501927507       9000                        5                           1                           0.083333333333333328707     
32                          5                           150                         4                           8                           46.554053846153856          6000                        5                           1                           0.125                       
33                          5                           150                         4                           9                           69.422326266451875654       6750                        5                           0                           0                           
34                          5                           150                         4                           10                          69.426550666283134206       7500                        5                           0                           0                           
35                          5                           150                         4                           7                           46.56163015873016775        5250                        5                           0                           0                           
36                          5                           150                         4                           5                           46.56163015873016775        3750                        5                           0                           0                           
37                          5                           150                         4                           10                          46.56163015873016775        7500                        5                           0                           0                           
38                          5                           150                         4                           6                           53.008587500000004411       4500                        5                           1                           0.16666666666666665741      
39                          5                           150                         4                           6                           46.56163015873016775        4500                        5                           0                           0                           
40                          5                           150                         4                           10                          69.537618206929636244       7500                        5                           1                           0.10000000000000000555      
41                          5                           150                         4                           7                           46.56163015873016775        5250                        5                           0                           0                           
42                          5                           150                         4                           9                           69.22595154026296882        6750                        5                           0                           0                           
43                          5                           150                         4                           5                           50.03412205564043802        3750                        5                           1                           0.2000000000000000111       
44                          5                           150                         4                           6                           49.748567008025851521       4500                        5                           0                           0                           
45                          5                           150                         4                           7                           49.868654263884586442       5250                        5                           1                           0.14285714285714284921      
46                          5                           150                         4                           7                           49.868654263884586442       5250                        5                           0                           0                           
47                          5                           150                         4                           6                           69.22595154026296882        4500                        5                           0                           0                           
48                          5                           150                         4                           12                          49.740790314107847792       9000                        5                           1                           0.083333333333333328707     
49                          5                           150                         4                           6                           69.258332492643916112       4500                        5                           0                           0                           
50                          5                           150                         4                           14                          69.664665825977252211       10500                       5                           0                           0                           

runTimes                    cluNum                      dataNum                     dataDim                     iterTimes                   objFunc                     distCallsAll                distCallPerIterPerData      timeAll(∫¡√Î)               timePerIter(∫¡√Î)           
25.5                        5                           150                         4                           8.6600000000000001421       52.219327106912857062       6495                        5                           0.35999999999999998668      0.04369272394272395027      
